#{"t_start": 1746845814.821131, "env_id": "None"}
r,l,t
0.0,15,0.035255
0.0,43,0.048798
0.0,2,0.049344
0.0,23,0.055706
0.0,8,0.058166
0.0,9,0.060776
0.0,28,0.069055
0.0,54,0.084711
0.0,66,0.102996
0.0,5,0.104443
0.0,2,0.104945
0.0,41,0.117056
0.0,25,0.124046
0.0,45,0.138009
0.0,26,0.14556
0.0,23,0.151913
0.0,16,0.156477
0.0,2,0.156992
0.0,2,0.157497
0.0,47,0.170683
0.0,2,0.171228
0.0,36,0.181308
0.0,44,0.193382
0.0,51,0.208172
0.0,8,0.210525
0.0,37,0.221033
0.0,8,0.223212
0.0,7,0.225202
0.0,29,0.233813
0.0,86,0.259879
0.0,2,0.260415
0.0,34,0.270054
0.0,32,0.279689
0.0,60,0.297684
0.0,42,0.309719
0.0,14,0.313325
0.0,7,0.3154
0.0,7,0.317376
0.0,61,0.335177
0.0,24,0.342309
0.0,2,0.343692
0.0,2,0.344258
0.0,6,0.345851
0.0,8,0.348394
0.0,58,0.365846
0.0,60,0.383036
0.0,34,0.392994
0.0,9,0.395497
0.0,36,0.405564
0.0,29,0.414054
0.0,33,0.423573
0.0,45,0.436485
0.0,2,0.437005
0.0,9,0.439584
0.0,65,0.458968
0.0,26,0.466445
0.0,52,0.481116
0.0,13,0.484652
0.0,2,0.48517
0.0,36,0.495227
0.0,21,0.501016
0.0,8,0.503182
0.0,27,0.510907
0.0,20,0.516517
0.0,5,0.517793
0.0,41,0.529509
0.0,12,0.532962
0.0,26,0.539921
0.0,77,0.56264
0.0,43,0.57499
0.0,2,0.575506
0.0,93,0.601507
0.0,68,0.620604
0.0,2,0.621097
0.0,41,1.26131
0.0,2,1.261859
0.0,2,1.262364
0.0,42,1.274605
0.0,17,1.279452
0.0,71,1.300846
0.0,51,1.315922
0.0,148,1.359558
0.0,9,1.362109
0.0,7,1.363933
0.0,35,1.373705
0.0,50,1.387746
0.0,11,1.39074
0.0,40,1.40313
0.0,45,1.416878
0.0,44,1.429618
0.0,33,1.439355
0.0,23,1.445825
0.0,2,1.446335
0.0,2,1.446857
0.0,24,1.453852
0.0,34,1.464264
0.0,7,1.466403
0.0,25,1.47344
0.0,11,1.476708
0.0,124,1.514101
0.0,41,1.526175
0.0,62,1.543607
0.0,44,1.555984
0.0,58,1.572352
0.0,6,1.573908
0.0,24,1.58098
0.0,34,1.590692
0.0,10,1.593616
0.0,32,1.603127
0.0,4,1.604185
0.0,14,1.608185
0.0,4,1.609892
0.0,24,1.616598
0.0,147,1.658876
0.0,5,1.660233
0.0,4,1.661465
